"","Langs","year","region","dataType","value"
"8693","Polish",2008,"missouri","speakers",2416
"8694","Serbocroatian",2008,"missouri","speakers",11354
"8695","Croatian",2008,"missouri","speakers",904
"8696","Serbian",2008,"missouri","speakers",566
"8697","Ukrainian",2008,"missouri","speakers",670
"8698","Czech",2008,"missouri","speakers",398
"8699","Slovak",2008,"missouri","speakers",265
"8700","Bulgarian",2008,"missouri","speakers",883
"8701","Macedonian",2008,"missouri","speakers",289
"8702","Slovene",2008,"missouri","speakers",26
"8703","Armenian",2008,"missouri","speakers",119
"8704","Persian",2008,"missouri","speakers",2575
"8705","Hindi",2008,"missouri","speakers",3869
"8706","Gujarati",2008,"missouri","speakers",1424
"8707","Urdu",2008,"missouri","speakers",2514
"8708","India nec 2",2008,"missouri","speakers",1017
"8709","Bengali",2008,"missouri","speakers",804
"8710","Panjabi",2008,"missouri","speakers",738
"8711","Marathi",2008,"missouri","speakers",528
"8712","Nepali",2008,"missouri","speakers",324
"8713","Sindhi",2008,"missouri","speakers",31
"8714","Pakistan nec 2",2008,"missouri","speakers",66
"8715","Sinhalese",2008,"missouri","speakers",150
"8716","Jamaican Creole",2008,"missouri","speakers",21
"8717","Krio",2008,"missouri","speakers",15
"8718","Pidgin",2008,"missouri","speakers",95
"8719","Romanian",2008,"missouri","speakers",1375
"8720","Irish Gaelic",2008,"missouri","speakers",156
"8721","Scottic Gaelic",2008,"missouri","speakers",60
"8722","Albanian",2008,"missouri","speakers",1025
"8723","Lithuanian",2008,"missouri","speakers",201
"8724","Lettish",2008,"missouri","speakers",77
"8725","Pashto",2008,"missouri","speakers",136
"8726","Kurdish",2008,"missouri","speakers",314
"8727","Chinese",2008,"missouri","speakers",14014
"8728","Chinese",2008,"missouri","speakers",10583
"8729","Kan, Hsiang",2008,"missouri","speakers",207
"8730","Cantonese",2008,"missouri","speakers",795
"8731","Mandarin",2008,"missouri","speakers",1458
"8732","Fuchow",2008,"missouri","speakers",79
"8733","Formosan",2008,"missouri","speakers",816
"8734","Wu",2008,"missouri","speakers",76
"8735","Japanese",2008,"missouri","speakers",2912
"8736","Korean",2008,"missouri","speakers",7321
"8737","Mon-Khmer, Cambodian",2008,"missouri","speakers",692
"8738","Hmong",2008,"missouri","speakers",859
"8739","Thai",2008,"missouri","speakers",1384
"8740","Laotian",2008,"missouri","speakers",279
"8741","Vietnamese",2008,"missouri","speakers",10976
"8742","Uighur",2008,"missouri","speakers",137
"8743","Turkish",2008,"missouri","speakers",846
"8744","Mongolian",2008,"missouri","speakers",552
"8745","Dravidian",2008,"missouri","speakers",39
"8746","Telugu",2008,"missouri","speakers",2365
"8747","Kannada",2008,"missouri","speakers",592
"8748","Malayalam",2008,"missouri","speakers",1031
"8749","Tamil",2008,"missouri","speakers",1900
"8750","Munda",2008,"missouri","speakers",16
"8751","Tibetan",2008,"missouri","speakers",13
"8752","Burmese",2008,"missouri","speakers",111
"8753","Miao-yao, Mien",2008,"missouri","speakers",14
"8754","Tagalog",2008,"missouri","speakers",5680
"8755","Indonesian",2008,"missouri","speakers",328
"8756","Malagasy",2008,"missouri","speakers",100
"8757","Malay",2008,"missouri","speakers",96
"8758","Bisayan",2008,"missouri","speakers",197
"8759","Sebuano",2008,"missouri","speakers",128
"8760","Ilocano",2008,"missouri","speakers",69
"8761","Bikol",2008,"missouri","speakers",22
"8762","Pampangan",2008,"missouri","speakers",18
"8763","Micronesian",2008,"missouri","speakers",230
"8764","Chamorro",2008,"missouri","speakers",59
"8765","Mokilese",2008,"missouri","speakers",109
"8766","Palau",2008,"missouri","speakers",52
"8767","Ponapean",2008,"missouri","speakers",205
"8768","Trukese",2008,"missouri","speakers",68
"8769","Samoan",2008,"missouri","speakers",781
"8770","Tongan",2008,"missouri","speakers",24
"8771","Maori",2008,"missouri","speakers",30
"8772","Hawaiian",2008,"missouri","speakers",36
"8773","Navajo",2008,"missouri","speakers",104
"8774","Inupik",2008,"missouri","speakers",7
"8775","Ojibwa",2008,"missouri","speakers",82
"8776","Potawatomi",2008,"missouri","speakers",70
"8777","Apache",2008,"missouri","speakers",45
"8778","Kiowa",2008,"missouri","speakers",14
"8779","Tlingit",2008,"missouri","speakers",20
"8780","Diegueno",2008,"missouri","speakers",51
"8781","Dakota",2008,"missouri","speakers",115
"8782","Chiwere",2008,"missouri","speakers",19
"8783","Winnebago",2008,"missouri","speakers",24
"8784","Osage",2008,"missouri","speakers",4
"8785","Choctaw",2008,"missouri","speakers",38
"8786","Muskogee",2008,"missouri","speakers",12
"8787","Cherokee",2008,"missouri","speakers",415
"8788","Comanche",2008,"missouri","speakers",46
"8789","Zuni",2008,"missouri","speakers",15
"8790","American Indian",2008,"missouri","speakers",141
"8791","Hungarian",2008,"missouri","speakers",976
"8792","Arabic",2008,"missouri","speakers",6390
"8793","Hebrew",2008,"missouri","speakers",663
"8794","Amharic",2008,"missouri","speakers",1624
"8795","Chadic",2008,"missouri","speakers",22
"8796","Cushite",2008,"missouri","speakers",1821
"8797","Sudanic",2008,"missouri","speakers",70
"8798","Nilo-hamitic",2008,"missouri","speakers",59
"8799","Swahili",2008,"missouri","speakers",1395
"8800","Bantu",2008,"missouri","speakers",326
"8801","Mande",2008,"missouri","speakers",91
"8802","Fulani",2008,"missouri","speakers",40
"8803","Kru, Ibo, Yoruba",2008,"missouri","speakers",2146
"8804","Efik",2008,"missouri","speakers",43
"8805","African",2008,"missouri","speakers",242
"8806","Finnish",2008,"missouri","speakers",20
"8807","Syriac",2008,"missouri","speakers",44
"8808","Uncodable",2008,"missouri","speakers",245
"8809","Only English",2008,"mississippi","speakers",2610696
"8810","Spanish",2008,"mississippi","speakers",53166
"8811","Ladino",2008,"mississippi","speakers",17
"8812","French",2008,"mississippi","speakers",5515
"8813","French",2008,"mississippi","speakers",4939
"8814","Patois",2008,"mississippi","speakers",38
"8815","Cajun",2008,"mississippi","speakers",538
"8816","French Creole",2008,"mississippi","speakers",210
"8817","Italian",2008,"mississippi","speakers",1072
"8818","Portuguese",2008,"mississippi","speakers",276
"8819","Portuguese",2008,"mississippi","speakers",276
"8820","German",2008,"mississippi","speakers",3705
"8821","German",2008,"mississippi","speakers",3705
"8822","Pennsylvania Dutch",2008,"mississippi","speakers",119
"8823","Dutch",2008,"mississippi","speakers",260
"8824","Afrikaans",2008,"mississippi","speakers",104
"8825","Swedish",2008,"mississippi","speakers",16
"8826","Greek",2008,"mississippi","speakers",341
"8827","Russian",2008,"mississippi","speakers",679
"8828","Polish",2008,"mississippi","speakers",248
"8829","Serbocroatian",2008,"mississippi","speakers",55
"8830","Croatian",2008,"mississippi","speakers",44
"8831","Serbian",2008,"mississippi","speakers",28
"8832","Ukrainian",2008,"mississippi","speakers",30
"8833","Slovak",2008,"mississippi","speakers",25
"8834","Bulgarian",2008,"mississippi","speakers",154
"8835","Macedonian",2008,"mississippi","speakers",80
"8836","Persian",2008,"mississippi","speakers",318
"8837","Hindi",2008,"mississippi","speakers",1495
"8838","Gujarati",2008,"mississippi","speakers",975
"8839","Urdu",2008,"mississippi","speakers",543
"8840","India nec 2",2008,"mississippi","speakers",125
"8841","Bengali",2008,"mississippi","speakers",14
"8842","Panjabi",2008,"mississippi","speakers",490
"8843","Marathi",2008,"mississippi","speakers",36
"8844","Oriya",2008,"mississippi","speakers",25
"8845","Sinhalese",2008,"mississippi","speakers",117
"8846","Romany",2008,"mississippi","speakers",32
"8847","Jamaican Creole",2008,"mississippi","speakers",67
"8848","Scottic Gaelic",2008,"mississippi","speakers",5
"8849","Lithuanian",2008,"mississippi","speakers",46
"8850","Lettish",2008,"mississippi","speakers",14
"8851","Chinese",2008,"mississippi","speakers",3682
"8852","Chinese",2008,"mississippi","speakers",2362
"8853","Cantonese",2008,"mississippi","speakers",288
"8854","Mandarin",2008,"mississippi","speakers",440
"8855","Formosan",2008,"mississippi","speakers",592
"8856","Japanese",2008,"mississippi","speakers",1003
"8857","Korean",2008,"mississippi","speakers",1211
"8858","Mon-Khmer, Cambodian",2008,"mississippi","speakers",131
"8859","Thai",2008,"mississippi","speakers",140
"8860","Laotian",2008,"mississippi","speakers",132
"8861","Vietnamese",2008,"mississippi","speakers",4377
"8862","Turkish",2008,"mississippi","speakers",124
"8863","Telugu",2008,"mississippi","speakers",318
"8864","Kannada",2008,"mississippi","speakers",27
"8865","Malayalam",2008,"mississippi","speakers",170
"8866","Tamil",2008,"mississippi","speakers",290
"8867","Tagalog",2008,"mississippi","speakers",2625
"8868","Indonesian",2008,"mississippi","speakers",14
"8869","Malay",2008,"mississippi","speakers",15
"8870","Bisayan",2008,"mississippi","speakers",65
"8871","Ilocano",2008,"mississippi","speakers",3
"8872","Micronesian",2008,"mississippi","speakers",75
"8873","Chamorro",2008,"mississippi","speakers",62
"8874","Samoan",2008,"mississippi","speakers",36
"8875","Hawaiian",2008,"mississippi","speakers",167
"8876","Ingalit",2008,"mississippi","speakers",38
"8877","Apache",2008,"mississippi","speakers",9
"8878","Kiowa",2008,"mississippi","speakers",18
"8879","Dakota",2008,"mississippi","speakers",2
"8880","Choctaw",2008,"mississippi","speakers",4917
"8881","Muskogee",2008,"mississippi","speakers",18
"8882","Cherokee",2008,"mississippi","speakers",32
"8883","American Indian",2008,"mississippi","speakers",98
"8884","Hungarian",2008,"mississippi","speakers",114
"8885","Arabic",2008,"mississippi","speakers",2660
"8886","Hebrew",2008,"mississippi","speakers",44
"8887","Sudanic",2008,"mississippi","speakers",128
"8888","Swahili",2008,"mississippi","speakers",89
"8889","Bantu",2008,"mississippi","speakers",82
"8890","Mande",2008,"mississippi","speakers",21
"8891","Kru, Ibo, Yoruba",2008,"mississippi","speakers",988
"8892","Efik",2008,"mississippi","speakers",20
"8893","African",2008,"mississippi","speakers",22
"8894","Uncodable",2008,"mississippi","speakers",183
"8895","Only English",2008,"montana","speakers",854966
"8896","Spanish",2008,"montana","speakers",13088
"8897","French",2008,"montana","speakers",2119
"8898","French",2008,"montana","speakers",2119
"8899","Italian",2008,"montana","speakers",557
"8900","Portuguese",2008,"montana","speakers",336
"8901","Portuguese",2008,"montana","speakers",336
"8902","German",2008,"montana","speakers",8786
"8903","German",2008,"montana","speakers",8786
"8904","Pennsylvania Dutch",2008,"montana","speakers",220
"8905","Dutch",2008,"montana","speakers",200
"8906","Afrikaans",2008,"montana","speakers",64
"8907","Swedish",2008,"montana","speakers",39
"8908","Danish",2008,"montana","speakers",57
"8909","Norwegian",2008,"montana","speakers",486
"8910","Icelandic",2008,"montana","speakers",26
"8911","Greek",2008,"montana","speakers",181
"8912","Russian",2008,"montana","speakers",655
"8913","Polish",2008,"montana","speakers",247
"8914","Serbocroatian",2008,"montana","speakers",50
"8915","Croatian",2008,"montana","speakers",28
"8916","Ukrainian",2008,"montana","speakers",345
"8917","Czech",2008,"montana","speakers",199
"8918","Slovak",2008,"montana","speakers",16
"8919","Slovene",2008,"montana","speakers",56
"8920","Armenian",2008,"montana","speakers",22
"8921","Hindi",2008,"montana","speakers",36
"8922","Gujarati",2008,"montana","speakers",25
"8923","Urdu",2008,"montana","speakers",21
"8924","Bengali",2008,"montana","speakers",28
"8925","Nepali",2008,"montana","speakers",109
"8926","Jamaican Creole",2008,"montana","speakers",49
"8927","Romanian",2008,"montana","speakers",23
"8928","Irish Gaelic",2008,"montana","speakers",52
"8929","Scottic Gaelic",2008,"montana","speakers",9
"8930","Lettish",2008,"montana","speakers",15
"8931","Kurdish",2008,"montana","speakers",34
"8932","Chinese",2008,"montana","speakers",919
"8933","Chinese",2008,"montana","speakers",787
"8934","Cantonese",2008,"montana","speakers",38
"8935","Mandarin",2008,"montana","speakers",82
"8936","Formosan",2008,"montana","speakers",12
"8937","Japanese",2008,"montana","speakers",705
"8938","Korean",2008,"montana","speakers",331
"8939","Hmong",2008,"montana","speakers",133
"8940","Thai",2008,"montana","speakers",144
"8941","Vietnamese",2008,"montana","speakers",518
"8942","Kazakh",2008,"montana","speakers",54
"8943","Turkish",2008,"montana","speakers",67
"8944","Kannada",2008,"montana","speakers",11
"8945","Tibetan",2008,"montana","speakers",85
"8946","Burmese",2008,"montana","speakers",10
"8947","Tagalog",2008,"montana","speakers",639
"8948","Indonesian",2008,"montana","speakers",46
"8949","Bisayan",2008,"montana","speakers",34
"8950","Sebuano",2008,"montana","speakers",24
"8951","Chamorro",2008,"montana","speakers",31
"8952","Melanesian",2008,"montana","speakers",3
"8953","Samoan",2008,"montana","speakers",7
"8954","Navajo",2008,"montana","speakers",160
"8955","Arapaho",2008,"montana","speakers",54
"8956","Atsina",2008,"montana","speakers",45
"8957","Blackfoot",2008,"montana","speakers",1257
"8958","Cheyenne",2008,"montana","speakers",1174
"8959","Cree",2008,"montana","speakers",268
"8960","Menomini",2008,"montana","speakers",10
"8961","Ojibwa",2008,"montana","speakers",310
"8962","Kutenai",2008,"montana","speakers",145
"8963","Salish",2008,"montana","speakers",626
"8964","Apache",2008,"montana","speakers",6
"8965","Crow",2008,"montana","speakers",3568
"8966","Dakota",2008,"montana","speakers",627
"8967","American Indian",2008,"montana","speakers",315
"8968","Hungarian",2008,"montana","speakers",100
"8969","Arabic",2008,"montana","speakers",494
"8970","Hebrew",2008,"montana","speakers",155
"8971","Kru, Ibo, Yoruba",2008,"montana","speakers",86
"8972","Finnish",2008,"montana","speakers",266
"8973","Estonian",2008,"montana","speakers",22
"8974","Syriac",2008,"montana","speakers",1
"8975","Uncodable",2008,"montana","speakers",74
"8976","Only English",2008,"north carolina","speakers",7596869
"8977","Spanish",2008,"north carolina","speakers",542705
"8978","French",2008,"north carolina","speakers",27357
"8979","French",2008,"north carolina","speakers",26599
"8980","Patois",2008,"north carolina","speakers",596
"8981","Cajun",2008,"north carolina","speakers",162
"8982","French Creole",2008,"north carolina","speakers",2018
"8983","Italian",2008,"north carolina","speakers",7206
"8984","Portuguese",2008,"north carolina","speakers",5257
"8985","Portuguese",2008,"north carolina","speakers",5257
"8986","German",2008,"north carolina","speakers",21648
"8987","German",2008,"north carolina","speakers",21648
"8988","Yiddish",2008,"north carolina","speakers",339
"8989","Pennsylvania Dutch",2008,"north carolina","speakers",54
"8990","Dutch",2008,"north carolina","speakers",2013
"8991","Afrikaans",2008,"north carolina","speakers",461
"8992","Swedish",2008,"north carolina","speakers",1233
"8993","Danish",2008,"north carolina","speakers",614
"8994","Norwegian",2008,"north carolina","speakers",770
"8995","Icelandic",2008,"north carolina","speakers",191
"8996","Greek",2008,"north carolina","speakers",6441
"8997","Russian",2008,"north carolina","speakers",8798
"8998","Polish",2008,"north carolina","speakers",3405
"8999","Serbocroatian",2008,"north carolina","speakers",1516
"9000","Croatian",2008,"north carolina","speakers",280
"9001","Serbian",2008,"north carolina","speakers",935
"9002","Bielorussian",2008,"north carolina","speakers",85
"9003","Ukrainian",2008,"north carolina","speakers",1996
"9004","Czech",2008,"north carolina","speakers",866
"9005","Slovak",2008,"north carolina","speakers",377
"9006","Bulgarian",2008,"north carolina","speakers",660
"9007","Macedonian",2008,"north carolina","speakers",46
"9008","Slovene",2008,"north carolina","speakers",76
"9009","Armenian",2008,"north carolina","speakers",46
"9010","Persian",2008,"north carolina","speakers",3323
"9011","Hindi",2008,"north carolina","speakers",9471
"9012","Gujarati",2008,"north carolina","speakers",7698
"9013","Urdu",2008,"north carolina","speakers",5518
"9014","India nec 2",2008,"north carolina","speakers",2123
"9015","Bengali",2008,"north carolina","speakers",1831
"9016","Panjabi",2008,"north carolina","speakers",1997
"9017","Marathi",2008,"north carolina","speakers",1127
"9018","Oriya",2008,"north carolina","speakers",215
"9019","Assamese",2008,"north carolina","speakers",24
"9020","Kashmiri",2008,"north carolina","speakers",15
"9021","Nepali",2008,"north carolina","speakers",204
"9022","Sindhi",2008,"north carolina","speakers",156
"9023","Pakistan nec 2",2008,"north carolina","speakers",298
"9024","Sinhalese",2008,"north carolina","speakers",223
"9025","Romany",2008,"north carolina","speakers",53
"9026","Jamaican Creole",2008,"north carolina","speakers",366
"9027","Krio",2008,"north carolina","speakers",315
"9028","Pidgin",2008,"north carolina","speakers",65
"9029","Romanian",2008,"north carolina","speakers",1813
"9030","Welsh",2008,"north carolina","speakers",6
"9031","Irish Gaelic",2008,"north carolina","speakers",184
"9032","Scottic Gaelic",2008,"north carolina","speakers",121
"9033","Albanian",2008,"north carolina","speakers",338
"9034","Lithuanian",2008,"north carolina","speakers",417
"9035","Lettish",2008,"north carolina","speakers",24
"9036","Pashto",2008,"north carolina","speakers",40
"9037","Chinese",2008,"north carolina","speakers",20768
"9038","Chinese",2008,"north carolina","speakers",15913
"9039","Hakka",2008,"north carolina","speakers",12
"9040","Kan, Hsiang",2008,"north carolina","speakers",84
"9041","Cantonese",2008,"north carolina","speakers",1717
"9042","Mandarin",2008,"north carolina","speakers",2588
"9043","Fuchow",2008,"north carolina","speakers",54
"9044","Formosan",2008,"north carolina","speakers",380
"9045","Wu",2008,"north carolina","speakers",20
"9046","Japanese",2008,"north carolina","speakers",6336
"9047","Korean",2008,"north carolina","speakers",12355
"9048","Mon-Khmer, Cambodian",2008,"north carolina","speakers",3538
"9049","Hmong",2008,"north carolina","speakers",9206
"9050","Thai",2008,"north carolina","speakers",2306
"9051","Laotian",2008,"north carolina","speakers",3388
"9052","Vietnamese",2008,"north carolina","speakers",15811
"9053","Uighur",2008,"north carolina","speakers",107
"9054","Turkish",2008,"north carolina","speakers",1917
"9055","Dravidian",2008,"north carolina","speakers",20
"9056","Telugu",2008,"north carolina","speakers",3766
"9057","Kannada",2008,"north carolina","speakers",974
"9058","Malayalam",2008,"north carolina","speakers",1240
"9059","Tamil",2008,"north carolina","speakers",2875
"9060","Burmese",2008,"north carolina","speakers",428
"9061","Karen",2008,"north carolina","speakers",607
"9062","Tagalog",2008,"north carolina","speakers",11352
"9063","Indonesian",2008,"north carolina","speakers",889
"9064","Javanese",2008,"north carolina","speakers",6
"9065","Malagasy",2008,"north carolina","speakers",58
"9066","Malay",2008,"north carolina","speakers",132
"9067","Bisayan",2008,"north carolina","speakers",373
"9068","Sebuano",2008,"north carolina","speakers",72
"9069","Pangasinan",2008,"north carolina","speakers",8
"9070","Ilocano",2008,"north carolina","speakers",341
"9071","Pampangan",2008,"north carolina","speakers",134
"9072","Micronesian",2008,"north carolina","speakers",82
"9073","Chamorro",2008,"north carolina","speakers",414
"9074","Gilbertese",2008,"north carolina","speakers",41
"9075","Kusaiean",2008,"north carolina","speakers",26
"9076","Palau",2008,"north carolina","speakers",27
"9077","Ponapean",2008,"north carolina","speakers",78
"9078","Trukese",2008,"north carolina","speakers",53
"9079","Polynesian",2008,"north carolina","speakers",15
"9080","Samoan",2008,"north carolina","speakers",247
"9081","Tongan",2008,"north carolina","speakers",22
"9082","Maori",2008,"north carolina","speakers",102
"9083","Hawaiian",2008,"north carolina","speakers",109
"9084","Navajo",2008,"north carolina","speakers",171
"9085","Klamath",2008,"north carolina","speakers",26
"9086","Nez Perce",2008,"north carolina","speakers",16
"9087","Crow",2008,"north carolina","speakers",20
"9088","Dakota",2008,"north carolina","speakers",74
"9089","Choctaw",2008,"north carolina","speakers",48
"9090","Muskogee",2008,"north carolina","speakers",4
"9091","Mohawk",2008,"north carolina","speakers",19
"9092","Tuscarora",2008,"north carolina","speakers",100
"9093","Cherokee",2008,"north carolina","speakers",1147
"9094","American Indian",2008,"north carolina","speakers",139
"9095","Hungarian",2008,"north carolina","speakers",989
"9096","Arabic",2008,"north carolina","speakers",14838
"9097","Hebrew",2008,"north carolina","speakers",1560
"9098","Amharic",2008,"north carolina","speakers",2845
"9099","Chadic",2008,"north carolina","speakers",168
"9100","Cushite",2008,"north carolina","speakers",1354
"9101","Sudanic",2008,"north carolina","speakers",75
"9102","Swahili",2008,"north carolina","speakers",1415
"9103","Bantu",2008,"north carolina","speakers",705
"9104","Mande",2008,"north carolina","speakers",1272
"9105","Fulani",2008,"north carolina","speakers",660
"9106","Kru, Ibo, Yoruba",2008,"north carolina","speakers",4663
"9107","Efik",2008,"north carolina","speakers",25
"9108","African",2008,"north carolina","speakers",376
"9109","Finnish",2008,"north carolina","speakers",154
"9110","Estonian",2008,"north carolina","speakers",123
"9111","Caucasian",2008,"north carolina","speakers",25
"9112","Syriac",2008,"north carolina","speakers",34
"9113","Aztecan",2008,"north carolina","speakers",64
"9114","Tarascan",2008,"north carolina","speakers",56
"9115","Oto - Manguen",2008,"north carolina","speakers",85
"9116","Uncodable",2008,"north carolina","speakers",88
"9117","Only English",2008,"north dakota","speakers",565619
"9118","Spanish",2008,"north dakota","speakers",8458
"9119","French",2008,"north dakota","speakers",1098
"9120","French",2008,"north dakota","speakers",1098
"9121","French Creole",2008,"north dakota","speakers",8
"9122","Italian",2008,"north dakota","speakers",116
"9123","Portuguese",2008,"north dakota","speakers",134
"9124","Portuguese",2008,"north dakota","speakers",134
"9125","German",2008,"north dakota","speakers",10162
"9126","German",2008,"north dakota","speakers",10162
"9127","Yiddish",2008,"north dakota","speakers",11
"9128","Pennsylvania Dutch",2008,"north dakota","speakers",29
"9129","Dutch",2008,"north dakota","speakers",11
"9130","Afrikaans",2008,"north dakota","speakers",63
"9131","Swedish",2008,"north dakota","speakers",122
"9132","Norwegian",2008,"north dakota","speakers",1776
"9133","Icelandic",2008,"north dakota","speakers",88
"9134","Greek",2008,"north dakota","speakers",14
"9135","Russian",2008,"north dakota","speakers",397
"9136","Polish",2008,"north dakota","speakers",392
"9137","Serbocroatian",2008,"north dakota","speakers",1232
"9138","Croatian",2008,"north dakota","speakers",42
"9139","Serbian",2008,"north dakota","speakers",233
"9140","Ukrainian",2008,"north dakota","speakers",231
"9141","Czech",2008,"north dakota","speakers",469
"9142","Bulgarian",2008,"north dakota","speakers",26
"9143","Macedonian",2008,"north dakota","speakers",5
"9144","Persian",2008,"north dakota","speakers",46
"9145","Hindi",2008,"north dakota","speakers",149
"9146","Urdu",2008,"north dakota","speakers",76
"9147","Bengali",2008,"north dakota","speakers",199
"9148","Marathi",2008,"north dakota","speakers",158
"9149","Nepali",2008,"north dakota","speakers",305
"9150","Pakistan nec 2",2008,"north dakota","speakers",21
"9151","Krio",2008,"north dakota","speakers",62
"9152","Pidgin",2008,"north dakota","speakers",11
"9153","Romanian",2008,"north dakota","speakers",51
"9154","Irish Gaelic",2008,"north dakota","speakers",60
"9155","Albanian",2008,"north dakota","speakers",5
"9156","Lettish",2008,"north dakota","speakers",26
"9157","Chinese",2008,"north dakota","speakers",988
"9158","Chinese",2008,"north dakota","speakers",834
"9159","Cantonese",2008,"north dakota","speakers",37
"9160","Mandarin",2008,"north dakota","speakers",117
"9161","Japanese",2008,"north dakota","speakers",221
"9162","Korean",2008,"north dakota","speakers",158
"9163","Mon-Khmer, Cambodian",2008,"north dakota","speakers",95
"9164","Thai",2008,"north dakota","speakers",17
"9165","Vietnamese",2008,"north dakota","speakers",562
"9166","Mongolian",2008,"north dakota","speakers",24
"9167","Telugu",2008,"north dakota","speakers",247
"9168","Tagalog",2008,"north dakota","speakers",617
"9169","Indonesian",2008,"north dakota","speakers",53
"9170","Chamorro",2008,"north dakota","speakers",24
"9171","Samoan",2008,"north dakota","speakers",33
"9172","Hawaiian",2008,"north dakota","speakers",60
"9173","Cree",2008,"north dakota","speakers",28
"9174","French Cree",2008,"north dakota","speakers",22
"9175","Ojibwa",2008,"north dakota","speakers",89
"9176","Hidatsa",2008,"north dakota","speakers",806
"9177","Mandan",2008,"north dakota","speakers",37
"9178","Dakota",2008,"north dakota","speakers",675
"9179","Arikara",2008,"north dakota","speakers",44
"9180","Towa",2008,"north dakota","speakers",17
"9181","American Indian",2008,"north dakota","speakers",154
"9182","Hungarian",2008,"north dakota","speakers",33
"9183","Arabic",2008,"north dakota","speakers",455
"9184","Hebrew",2008,"north dakota","speakers",27
"9185","Amharic",2008,"north dakota","speakers",34
"9186","Cushite",2008,"north dakota","speakers",222
"9187","Sudanic",2008,"north dakota","speakers",222
"9188","Nilo-hamitic",2008,"north dakota","speakers",14
"9189","Swahili",2008,"north dakota","speakers",107
"9190","Kru, Ibo, Yoruba",2008,"north dakota","speakers",366
"9191","African",2008,"north dakota","speakers",27
"9192","Finnish",2008,"north dakota","speakers",78
"9193","Estonian",2008,"north dakota","speakers",5
"9194","Uncodable",2008,"north dakota","speakers",52
"9195","Only English",2008,"nebraska","speakers",1492558
"9196","Spanish",2008,"nebraska","speakers",97548
"9197","French",2008,"nebraska","speakers",4417
"9198","French",2008,"nebraska","speakers",4417
"9199","French Creole",2008,"nebraska","speakers",156
"9200","Italian",2008,"nebraska","speakers",729
"9201","Portuguese",2008,"nebraska","speakers",585
"9202","Portuguese",2008,"nebraska","speakers",585
"9203","German",2008,"nebraska","speakers",6415
"9204","German",2008,"nebraska","speakers",6415
"9205","Yiddish",2008,"nebraska","speakers",16
"9206","Pennsylvania Dutch",2008,"nebraska","speakers",28
"9207","Dutch",2008,"nebraska","speakers",222
"9208","Afrikaans",2008,"nebraska","speakers",79
"9209","Swedish",2008,"nebraska","speakers",123
"9210","Danish",2008,"nebraska","speakers",239
"9211","Norwegian",2008,"nebraska","speakers",178
"9212","Greek",2008,"nebraska","speakers",361
"9213","Russian",2008,"nebraska","speakers",1101
"9214","Polish",2008,"nebraska","speakers",1138
"9215","Serbocroatian",2008,"nebraska","speakers",667
"9216","Croatian",2008,"nebraska","speakers",17
"9217","Serbian",2008,"nebraska","speakers",76
"9218","Ukrainian",2008,"nebraska","speakers",549
"9219","Czech",2008,"nebraska","speakers",2498
"9220","Slovak",2008,"nebraska","speakers",29
"9221","Slovene",2008,"nebraska","speakers",14
"9222","Armenian",2008,"nebraska","speakers",30
"9223","Persian",2008,"nebraska","speakers",642
"9224","Hindi",2008,"nebraska","speakers",1290
"9225","Gujarati",2008,"nebraska","speakers",475
"9226","Urdu",2008,"nebraska","speakers",194
"9227","India nec 2",2008,"nebraska","speakers",23
"9228","Bengali",2008,"nebraska","speakers",245
"9229","Panjabi",2008,"nebraska","speakers",60
"9230","Marathi",2008,"nebraska","speakers",47
"9231","Oriya",2008,"nebraska","speakers",83
"9232","Assamese",2008,"nebraska","speakers",68
"9233","Nepali",2008,"nebraska","speakers",218
"9234","Sinhalese",2008,"nebraska","speakers",66
"9235","Romany",2008,"nebraska","speakers",14
"9236","Krio",2008,"nebraska","speakers",19
"9237","Romanian",2008,"nebraska","speakers",275
"9238","Welsh",2008,"nebraska","speakers",19
"9239","Irish Gaelic",2008,"nebraska","speakers",64
"9240","Scottic Gaelic",2008,"nebraska","speakers",33
"9241","Albanian",2008,"nebraska","speakers",63
"9242","Lithuanian",2008,"nebraska","speakers",222
"9243","Lettish",2008,"nebraska","speakers",68
"9244","Pashto",2008,"nebraska","speakers",67
"9245","Kurdish",2008,"nebraska","speakers",255
"9246","Chinese",2008,"nebraska","speakers",4091
"9247","Chinese",2008,"nebraska","speakers",3265
"9248","Cantonese",2008,"nebraska","speakers",233
"9249","Mandarin",2008,"nebraska","speakers",438
"9250","Formosan",2008,"nebraska","speakers",155
"9251","Japanese",2008,"nebraska","speakers",1404
"9252","Korean",2008,"nebraska","speakers",1117
"9253","Mon-Khmer, Cambodian",2008,"nebraska","speakers",304
"9254","Thai",2008,"nebraska","speakers",429
"9255","Laotian",2008,"nebraska","speakers",653
"9256","Vietnamese",2008,"nebraska","speakers",6526
"9257","Kazakh",2008,"nebraska","speakers",17
"9258","Uighur",2008,"nebraska","speakers",22
"9259","Turkish",2008,"nebraska","speakers",266
"9260","Telugu",2008,"nebraska","speakers",643
"9261","Kannada",2008,"nebraska","speakers",72
"9262","Malayalam",2008,"nebraska","speakers",347
"9263","Tamil",2008,"nebraska","speakers",687
"9264","Karen",2008,"nebraska","speakers",79
"9265","Tagalog",2008,"nebraska","speakers",1150
"9266","Indonesian",2008,"nebraska","speakers",139
